title	studio	genre	ex_number	image	notion_URL
記念種	製品・サービスデザイン	プロダクト	44	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64048
対話型実践の手法を用いた家庭における 対話のケア効果	エディティングデザイン	本	45	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
繊維形状の光反射を利用したモーションについての検証	ヴィジュアルコミュニケーションデザイン	モデル, 映像, グラフィック	46	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
抽象的オブジェクトを用いたオンラインコミュニケーションアプリ「bukubuku」の制作	ネットワークデザイン	アプリケーション, インタラクティブ, デジタルコンテンツ	47	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
現代の怪談や都市伝説を題材とした口承文学・民間伝承の収集と記録	エディティングデザイン	本, プロジェクト	48	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d581
student share house	空間デザイン	空間	49	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
「人混みから考える『快い』のためのツール開発」	エルゴノミックデザイン	論文, VR	50	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e15
経済動物に対する意識変容を促すための問いの創出 -スペキュラティブデザインによるアプローチの実践-	トランスポーテーションデザイン	論文, インスタレーション, プロダクト	51	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64049
未定	ヴィジュアルコミュニケーションデザイン	ポスター, インタラクティブ, インスタレーション, パッケージ, 本, グラフィック, 写真	52	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
低コストDIY空気清浄機の試作品	インテリアデザイン	プロダクト	53	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
リモートワークにおける孤独感を解消するデザインの提案	製品・サービスデザイン		54	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
特定の構図による写真撮影とその編集手法	ヴィジュアルコミュニケーションデザイン	ポスター, 本, グラフィック, 写真	55	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d582
創造性を活性化させる環境に関する研究	エルゴノミックデザイン	モデル, 論文	56	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
微小重力空間から考える安定安心する姿勢による休息活動のデザイン	トランスポーテーションデザイン	インスタレーション, プロダクト, 空間	57	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e16
警告性設置物がはらむ情報の可視化についての研究	製品・サービスデザイン	プロダクト	58	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64050
児童のアクティビティに着目した学童施設トイレの提案	ヴィジュアルコミュニケーションデザイン	空間, 本, 映像, グラフィック	59	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
透過ディスプレイを組み込む列車窓のトンネル入出時のトランジション映像制作	インテリアデザイン	デジタルコンテンツ, 空間	60	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
機械学習を用いた楽器音響データからのフレージング要素の検出	音楽音響デザイン		61	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
アカンサス模様のレイアウト生成支援	ソフトウェアデザイン	アプリケーション, モデル, 論文	62	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d583
不便益を活用した子ども用の空間	空間デザイン	空間	63	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
HINADOLIA: パレイドリア現象とユーザ表情の実時間同期システム	インタフェースデザイン	アプリケーション, インタラクティブ, デジタルコンテンツ	64	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e17
振動モーターによる触覚提示（仮案）	インテリアデザイン	プロダクト	65	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64051
モバイルメッセージングにおける感情伝達の拡張	ソフトウェアデザイン	アプリケーション, サービス, 論文	66	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
コニュニケーションツールに関するナラティブ・メタファの研究	エルゴノミックデザイン	モデル, 論文, コミュニケーション，SNS	67	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
A Study of Vertical Farming in Tokyo	空間デザイン	モデル, 空間	68	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
レンチキュラーレンズを用いた視覚伝達手法	ヴィジュアルコミュニケーションデザイン	インタラクティブ, デジタルコンテンツ, 映像, グラフィック	69	https://drive.google.com/file/d/1NqyXedV3VDv5xwSFFsafHAohyndHVng6/view?usp=drive_link	https://ia2024webten.notion.site/Proposal-for-installations-to-enhance-tourism-in-Hitachi-City-33f9d3a061e4466e89cfc6f8ced3d584
海の風を再現して動きの研究	製品・サービスデザイン	インスタレーション, プロダクト	70	https://drive.google.com/file/d/1XDCA-hIGIVLTmUHgbH0LCk2qt2WFy-ib/view?usp=drive_link	https://ia2024webten.notion.site/76156a9230b14c4b9f1531b7b14b16ac
理系科目への興味を促すぬいぐるみ型玩具の提案	インタラクティブアート	インタラクティブ, プロダクト, 玩具	71	https://drive.google.com/file/d/12_C4ZUiaY7Ta2NWVujgUUq-FyGraZBmG/view?usp=sharing	https://ia2024webten.notion.site/c4be8f18f4964c9780684b048c5215e18
絵画表現をモチーフとしたオバケブラーの拡張	映像デザイン	デジタルコンテンツ, 映像	72	https://drive.google.com/file/d/1zRCkJFezG4mWWWaktZw0sCczoECHcIW6/view?usp=drive_link	https://ia2024webten.notion.site/d86193cf77ef49d4a50a1097b0f64052
ストロボ効果を用いた高速回転プリズムのインスタレーション	インタフェースデザイン	インスタレーション, プロダクト	73	https://drive.google.com/file/d/18EP-SNAtoHWUKqw36F_uhR7aU9kAZqbW/view?usp=drive_link	https://ia2024webten.notion.site/82f7217a9b444e819b89d03508ed21af
日本語オノマトペから連想される視覚イメージの調査と形状分析	インテリアデザイン	本, 言葉、イメージ、オノマトペ	74	https://drive.google.com/file/d/1M_NNWgCfIPyO25FRP_cOpAhfQIPpUuTP/view?usp=drive_link	https://ia2024webten.notion.site/76eaa31c29e146ceaae5a17e291c621a
VRホラーアニメーションの制作	映像デザイン	映像	75	https://drive.google.com/file/d/1_ZIQ4Zn2_WLioeO8mW3LJK1lwKcclCg_/view?usp=drive_link	https://ia2024webten.notion.site/8ea812a3421d43098aa6bedfbd59480d
